2022/06/30 11:36:59.272 => OpenSerial: Com=16 BaudRate=256000, Success=1
2022/06/30 11:36:59.309 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:36:59.309 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:36:59.414 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:36:59.415 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:36:59.431 => CRadarProtocolProcess::UpdateVersion: CMDID(0x0000) Success
2022/06/30 11:36:59.431 => GetVersion Return: v1.4.4_32772.0
2022/06/30 11:37:00.654 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:37:00.654 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:37:00.772 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:37:00.772 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:37:01.332 => CRadarProtocolProcess::SendCommand: CMDID(0x0063) Success
2022/06/30 11:37:01.337 => CRadarProtocolProcess::CloseCmdMode: CMDID(0x00FE) Success
2022/06/30 11:37:01.351 => thread create success, thread handle=0x00000870, id=18228, name=ABDData
2022/06/30 11:37:01.351 => thread information, name=ABDData, tid=18228(0x00004734)
2022/06/30 11:37:10.767 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:10.818 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:10.934 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:11.048 => State=3, M_D=069, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:11.100 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:11.215 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:11.330 => State=3, M_D=066, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:11.381 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:11.496 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:11.610 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:11.718 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:11.833 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:11.885 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:11.999 => State=3, M_D=030, M_S=094, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:12.115 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:12.166 => State=3, M_D=040, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:12.281 => State=3, M_D=046, M_S=099, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:12.424 => State=3, M_D=048, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:12.538 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:12.590 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:12.705 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:12.820 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:12.871 => State=3, M_D=051, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:12.929 => State=3, M_D=070, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:13.046 => State=3, M_D=066, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:13.132 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:13.248 => State=3, M_D=054, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:13.298 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:13.415 => State=3, M_D=054, M_S=100, ML_D=000, ML_S=100, R_D=000
